CEMETERY NAME,ADDRESS ID,OWNERSHIP,SHAPE AREA,SHAPE LENGTH,GEOMETRY
MOUNT HOLLY CEMETERY,171382,PRIVATE,6951,474,"MULTIPOLYGON (((-91.048383975843 30.661654548773, -91.048386549237 30.661909367177, -91.047073445146 30.661905929567, -91.046574133827 30.661904632664, -91.046566413746 30.661811874949, -91.046552107747 30.661629683716, -91.048383975843 30.661654548773)))"
SAINT GEORGE CHURCH CEMETERY,143508,PUBLIC,18786,583,"MULTIPOLYGON (((-91.072056466357 30.379040827236, -91.071680252868 30.379657563138, -91.071054656067 30.380141486056, -91.070509686876 30.379863740279, -91.070885717758 30.379319180377, -91.070659379971 30.379218490427, -91.071081906777 30.378577791582, -91.072056466357 30.379040827236)))"
ROSE HILL CEMETERY,160308,PRIVATE,2223,203,"MULTIPOLYGON (((-91.060592920907 30.493639929359, -91.060419542634 30.493635911886, -91.060340955306 30.493609355745, -91.060313793986 30.493608726334, -91.060309598976 30.493344975241, -91.060247579706 30.493287663479, -91.060244466844 30.493120818038, -91.060583205403 30.493115892934, -91.060592920907 30.493639929359)))"
LITTLE MISERY CEMETERY,120956,PRIVATE,4815,296,"MULTIPOLYGON (((-91.088524503304 30.430407331517, -91.088656286257 30.43040714788, -91.08910695084 30.430406629692, -91.08917855415 30.43083856612, -91.088193673366 30.430827910887, -91.088249841065 30.430754554875, -91.088388206802 30.43057963563, -91.088524503304 30.430407331517)))"
BETHEL UNITED METHODIST CEMETERY,133072,PRIVATE,23926,714,"MULTIPOLYGON (((-90.996600196774 30.607383939479, -90.996333206727 30.607386098354, -90.996116208081 30.606854643767, -90.995654160598 30.60635223537, -90.995627746517 30.606124076716, -90.995588775425 30.605396266388, -90.995673421201 30.605126124072, -90.996375850204 30.605158831316, -90.996489243994 30.605639358841, -90.996561959563 30.605987396342, -90.996610596145 30.606336903981, -90.996634515449 30.606653944201, -90.996640491602 30.60697196431, -90.996627073256 30.607288667614, -90.996600196774 30.607383939479)))"
CEMETERY,172905,PRIVATE,1344,147,"MULTIPOLYGON (((-90.972971978307 30.693641747665, -90.972933878429 30.693893421975, -90.972580710219 30.693891019752, -90.972610056006 30.693623103919, -90.972971978307 30.693641747665)))"
CEMETERY,171769,PRIVATE,3583,353,"MULTIPOLYGON (((-91.076868982934 30.374815849411, -91.076995210786 30.37485786247, -91.077442370906 30.375006691793, -91.077381854916 30.375106511224, -91.077847322189 30.37531378613, -91.077832566442 30.375338125474, -91.077367099086 30.375130850518, -91.077235949733 30.375347176788, -91.076660588464 30.375155679049, -91.076868982934 30.374815849411)))"
BALLARD CEMETERY,151883,PRIVATE,1503,156,"MULTIPOLYGON (((-91.052208155211 30.689171380361, -91.052033547929 30.688863832826, -91.052322205698 30.68876205252, -91.052489022637 30.689057991591, -91.052208155211 30.689171380361)))"
DEVALL CEMETERY,152017,PRIVATE,2713,220,"MULTIPOLYGON (((-91.151248584738 30.54827571522, -91.151169216676 30.548278182277, -91.150915247117 30.548286072704, -91.150893798835 30.54772093961, -91.151069756648 30.547715042434, -91.151226717168 30.547710600093, -91.151240177185 30.548058442086, -91.151248584738 30.54827571522)))"
COLLIER FAMILY CEMETERY,186201,PRIVATE,2158,186,"MULTIPOLYGON (((-91.272738864389 30.661592965971, -91.272755669199 30.661953259477, -91.272345259448 30.661969701708, -91.272324303892 30.66160504628, -91.272738864389 30.661592965971)))"
CEMETERY,203019,PRIVATE,842,115,"MULTIPOLYGON (((-91.024865527693 30.538364398706, -91.024900928546 30.538362410971, -91.024960232924 30.538352936814, -91.02500773476 30.538338591097, -91.025109870074 30.538375225749, -91.025028437561 30.5386028654, -91.02476651988 30.538516171596, -91.024828719685 30.538366380203, -91.024865527693 30.538364398706)))"
BATON ROUGE NATIONAL CEMETERY,137566,PUBLIC,40843,936,"MULTIPOLYGON (((-91.169213279579 30.449788572769, -91.166052782899 30.449884862937, -91.166014055141 30.448987203138, -91.169175744998 30.448890877598, -91.169213279579 30.449788572769)))"
KNOX CEMETERY,130231,PRIVATE,11015,535,"MULTIPOLYGON (((-91.014047774333 30.426037177418, -91.014048853396 30.42604199131, -91.014049924694 30.426046806503, -91.014050988225 30.426051622989, -91.014052043987 30.426056440759, -91.014053091978 30.426061259802, -91.014054132197 30.426066080111, -91.01405516464 30.426070901674, -91.014056189306 30.426075724483, -91.014057206193 30.426080548529, -91.014058215299 30.426085373801, -91.014059216622 30.426090200291, -91.01406021016 30.426095027989, -91.014061195911 30.426099856886, -91.014062173873 30.426104686972, -91.014063144044 30.426109518238, -91.014064106423 30.426114350674, -91.014065061007 30.426119184271, -91.014066007795 30.42612401902, -91.014066946785 30.42612885491, -91.014067877974 30.426133691933, -91.014068801362 30.426138530079, -91.014069716945 30.426143369339, -91.014070624724 30.426148209703, -91.014071524695 30.426153051162, -91.014072416857 30.426157893706, -91.014073301208 30.426162737327, -91.014074177746 30.426167582013, -91.014075046471 30.426172427756, -91.014075907379 30.426177274547, -91.01407676047 30.426182122376, -91.014077605742 30.426186971233, -91.014078443192 30.42619182111, -91.014079272821 30.426196671996, -91.014080094625 30.426201523882, -91.014080908603 30.426206376758, -91.014081714753 30.426211230616, -91.014082513075 30.426216085446, -91.014083303566 30.426220941237, -91.014084086226 30.426225797982, -91.014084861051 30.426230655669, -91.014085628042 30.426235514291, -91.014086387196 30.426240373836, -91.014087138511 30.426245234296, -91.014087881987 30.426250095662, -91.014088617623 30.426254957923, -91.014089345415 30.42625982107, -91.014090065364 30.426264685095, -91.014090777468 30.426269549986, -91.014091481725 30.426274415735, -91.014092178133 30.426279282333, -91.014092866693 30.426284149769, -91.014093547401 30.426289018034, -91.014094220258 30.42629388712, -91.014094885261 30.426298757015, -91.01409554241 30.426303627711, -91.014096191702 30.426308499198, -91.014096833137 30.426313371467, -91.014097466714 30.426318244508, -91.014098092431 30.426323118312, -91.014098710286 30.426327992868, -91.01409932028 30.426332868169, -91.01409992241 30.426337744203, -91.014100516676 30.426342620962, -91.014101103076 30.426347498436, -91.014101681609 30.426352376615, -91.014102252275 30.42635725549, -91.014102815071 30.426362135052, -91.014103369996 30.426367015291, -91.014103917051 30.426371896197, -91.014104456233 30.42637677776, -91.014104987542 30.426381659972, -91.014105510976 30.426386542823, -91.014106026535 30.426391426303, -91.014106534217 30.426396310403, -91.014107034022 30.426401195113, -91.014107525948 30.426406080423, -91.014108009995 30.426410966325, -91.014108486162 30.426415852807, -91.014108954447 30.426420739862, -91.01410941485 30.42642562748, -91.01410986737 30.42643051565, -91.014110312006 30.426435404363, -91.014110748757 30.426440293611, -91.014111177622 30.426445183382, -91.014111598601 30.426450073668, -91.014112011692 30.426454964459, -91.014112416895 30.426459855746, -91.014112814209 30.426464747519, -91.014113203634 30.426469639768, -91.014113585167 30.426474532484, -91.01411395881 30.426479425658, -91.01411432456 30.426484319279, -91.014114682418 30.426489213338, -91.014115032382 30.426494107826, -91.014115374453 30.426499002733, -91.014115708628 30.42650389805, -91.014116034908 30.426508793767, -91.014116353292 30.426513689874, -91.013983565172 30.426669572274, -91.01381786885 30.426648894794, -91.013759199324 30.426640311856, -91.013599846643 30.426615015597, -91.013398956604 30.42657896981, -91.012722415858 30.426326121894, -91.012700242198 30.426314694479, -91.012480830304 30.426201618045, -91.012096551588 30.425990758553, -91.012576675507 30.426023714167, -91.013125697955 30.426058459862, -91.014047774333 30.426037177418)))"
ST. JOSEPH CATHOLIC CEMETERY,130270,PUBLIC,24077,650,"MULTIPOLYGON (((-91.174368354182 30.452818795547, -91.172479669206 30.452874705588, -91.172463233848 30.452545055875, -91.172456385814 30.452407701818, -91.172450907401 30.452297818569, -91.172435636873 30.451991528719, -91.174334308524 30.451935323093, -91.174368354182 30.452818795547)))"
HILLCREST MEMORIAL GARDENS,190938,PUBLIC,119970,1465,"MULTIPOLYGON (((-91.13289267962 30.583063419256, -91.132913806577 30.585719080733, -91.130349306203 30.585438838603, -91.12991140866 30.585366091137, -91.129884264493 30.584049239588, -91.12985977369 30.582861094844, -91.129949849935 30.582881625337, -91.130502000819 30.583007471968, -91.130494976432 30.58266678434, -91.131450332621 30.582854377696, -91.13144376331 30.582535908093, -91.131470386051 30.582431803415, -91.13289267962 30.583063419256)))"
CEMETERY,37637,PRIVATE,3701,245,"MULTIPOLYGON (((-91.122239821332 30.596637914173, -91.122121170531 30.597144741925, -91.121577643046 30.597078420925, -91.121715380251 30.59663828711, -91.122239821332 30.596637914173)))"
CEMETERY,130416,PRIVATE,6829,373,"MULTIPOLYGON (((-91.255127868104 30.704306403201, -91.254392173134 30.705076488599, -91.254014062683 30.705088938232, -91.254371291579 30.7042403211, -91.255127868104 30.704306403201)))"
ZACHARY PUBLIC CEMETERY,192187,PUBLIC,34609,772,"MULTIPOLYGON (((-91.194275379499 30.65692999702, -91.193233890243 30.656672167404, -91.19331998683 30.65630105982, -91.193461220032 30.655693098673, -91.193470439592 30.655646939477, -91.193470488013 30.655612642973, -91.193478349784 30.655447762243, -91.193490920087 30.655190548607, -91.193498928885 30.654921458664, -91.193592062896 30.654878026358, -91.194971405924 30.655057885581, -91.194497292265 30.656530300554, -91.194289388621 30.656872221788, -91.194275379499 30.65692999702)))"
HEAVENLY GATES CEMETERY,164231,PUBLIC,11296,432,"MULTIPOLYGON (((-91.167372312607 30.541846741042, -91.166384072113 30.541891812872, -91.166382687527 30.54189187261, -91.166381302571 30.541891925556, -91.166379917291 30.541891971705, -91.166378531731 30.541892011058, -91.166377145936 30.541892043613, -91.16637575995 30.541892069369, -91.166374373817 30.541892088325, -91.166372987583 30.54189210048, -91.166371601291 30.541892105835, -91.166370214986 30.541892104388, -91.166368828713 30.541892096141, -91.166367442517 30.541892081092, -91.166366056441 30.541892059244, -91.16636467053 30.541892030595, -91.16636328483 30.541891995148, -91.166361899383 30.541891952904, -91.166360514236 30.541891903863, -91.166359129432 30.541891848028, -91.166357745016 30.5418917854, -91.166356361032 30.541891715981, -91.166354977525 30.541891639773, -91.166353594539 30.54189155678, -91.166352212119 30.541891467002, -91.166350830309 30.541891370445, -91.166349449154 30.54189126711, -91.166348068697 30.541891157001, -91.166346688984 30.541891040121, -91.166345310058 30.541890916474, -91.166343931964 30.541890786064, -91.166342554746 30.541890648896, -91.166341178448 30.541890504974, -91.166339803115 30.541890354301, -91.16633842879 30.541890196884, -91.166337055518 30.541890032727, -91.166335683344 30.541889861836, -91.16633431231 30.541889684216, -91.166332942462 30.541889499872, -91.166331573843 30.541889308811, -91.166330206496 30.541889111039, -91.166328840467 30.541888906562, -91.166327475799 30.541888695386, -91.166326112535 30.541888477519, -91.16632475072 30.541888252968, -91.166323390397 30.541888021739, -91.166322031611 30.54188778384, -91.166320674403 30.541887539279, -91.166319318819 30.541887288064, -91.166317964902 30.541887030202, -91.166316612695 30.541886765703, -91.166315262242 30.541886494574, -91.166313913586 30.541886216824, -91.166312566771 30.541885932462, -91.166311221839 30.541885641497, -91.166309878834 30.541885343939, -91.166308537799 30.541885039797, -91.166307198777 30.54188472908, -91.166305861811 30.5418844118, -91.166304526944 30.541884087966, -91.16630319422 30.541883757588, -91.16630186368 30.541883420678, -91.166300535367 30.541883077245, -91.166299209325 30.541882727301, -91.166297885596 30.541882370858, -91.166296564222 30.541882007926, -91.166295245246 30.541881638517, -91.16629392871 30.541881262644, -91.166292614656 30.541880880318, -91.166291303127 30.541880491551, -91.166289994164 30.541880096357, -91.166288687811 30.541879694747, -91.166287384108 30.541879286735, -91.166286083099 30.541878872333, -91.166284784823 30.541878451555, -91.166283489324 30.541878024416, -91.166282196642 30.541877590927, -91.16628090682 30.541877151103, -91.166279619899 30.541876704959, -91.16627833592 30.541876252509, -91.166277054924 30.541875793766, -91.166275776952 30.541875328747, -91.166274502046 30.541874857466, -91.166273230247 30.541874379937, -91.166271961595 30.541873896177, -91.166270696131 30.541873406201, -91.166269433896 30.541872910024, -91.166268174931 30.541872407663, -91.166266919275 30.541871899134, -91.166265666969 30.541871384452, -91.166264418054 30.541870863636, -91.166263172569 30.5418703367, -91.166261930554 30.541869803663, -91.16626069205 30.541869264542, -91.166259457096 30.541868719352, -91.166258225732 30.541868168114, -91.166256997997 30.541867610843, -91.166255773931 30.541867047558, -91.166254553574 30.541866478276, -91.166253336963 30.541865903017, -91.166252124139 30.541865321799, -91.166250915141 30.54186473464, -91.166249710007 30.541864141559, -91.166248508775 30.541863542575, -91.166247311486 30.541862937708, -91.166246118176 30.541862326977, -91.166244928885 30.541861710402, -91.16624374365 30.541861088001, -91.16624256251 30.541860459797, -91.166241385502 30.541859825807, -91.166240212665 30.541859186054, -91.166239044036 30.541858540557, -91.166237879652 30.541857889337, -91.166236719552 30.541857232415, -91.166235563771 30.541856569813, -91.166234412349 30.541855901551, -91.16623326532 30.541855227651, -91.166232122723 30.541854548135, -91.166230984594 30.541853863024, -91.166229850969 30.541853172341, -91.166228721885 30.541852476107, -91.166227597379 30.541851774345, -91.166226477485 30.541851067078, -91.166225362242 30.541850354328, -91.166224251683 30.541849636118, -91.166223145845 30.541848912472, -91.166222044763 30.541848183412, -91.166220948473 30.541847448962, -91.16621985701 30.541846709145, -91.166218770409 30.541845963986, -91.166217688705 30.541845213508, -91.166216611932 30.541844457735, -91.166215540126 30.541843696692, -91.166214473321 30.541842930403, -91.16621341155 30.541842158892, -91.166212354848 30.541841382185, -91.16621130325 30.541840600307, -91.166210256788 30.541839813281, -91.166209215496 30.541839021135, -91.166208179409 30.541838223893, -91.166207148558 30.541837421581, -91.166206122978 30.541836614225, -91.166205102701 30.54183580185, -91.16620408776 30.541834984483, -91.166203078188 30.541834162149, -91.166202074016 30.541833334876, -91.166201075278 30.54183250269, -91.166200686143 30.541827843093, -91.166200289223 30.541823183988, -91.16619988452 30.541818525384, -91.166199472035 30.541813867292, -91.166199051768 30.541809209721, -91.166198623719 30.541804552681, -91.166198187891 30.541799896182, -91.166197744284 30.541795240233, -91.166197292899 30.541790584844, -91.166196833736 30.541785930025, -91.166196366798 30.541781275785, -91.166195892084 30.541776622135, -91.166195409595 30.541771969084, -91.166194919334 30.541767316642, -91.1661944213 30.541762664818, -91.166193915496 30.541758013622, -91.166193401921 30.541753363064, -91.166192880577 30.541748713154, -91.166192351465 30.541744063902, -91.166191814586 30.541739415316, -91.166191269942 30.541734767408, -91.166190717532 30.541730120186, -91.16619015736 30.54172547366, -91.166189589425 30.54172082784, -91.16618901373 30.541716182737, -91.166188430274 30.541711538358, -91.16618783906 30.541706894715, -91.166187240088 30.541702251816, -91.16618663336 30.541697609672, -91.166186018878 30.541692968292, -91.166185396641 30.541688327687, -91.166184766653 30.541683687865, -91.166184128913 30.541679048836, -91.166183483424 30.54167441061, -91.166182830187 30.541669773198, -91.166182169202 30.541665136607, -91.166181500473 30.541660500849, -91.166180823999 30.541655865933, -91.166180139782 30.541651231868, -91.166179447824 30.541646598665, -91.166178748126 30.541641966333, -91.16617804069 30.541637334881, -91.166177325517 30.541632704319, -91.166176602609 30.541628074658, -91.166175871966 30.541623445906, -91.166175133592 30.541618818073, -91.166174387486 30.54161419117, -91.166173633651 30.541609565205, -91.166172872089 30.541604940189, -91.166172102801 30.541600316131, -91.166171325788 30.54159569304, -91.166170541052 30.541591070927, -91.166169748595 30.541586449801, -91.166168948418 30.541581829672, -91.166168140524 30.541577210549, -91.166167324914 30.541572592442, -91.166166501589 30.541567975361, -91.166165670551 30.541563359315, -91.166164831802 30.541558744314, -91.166163985344 30.541554130368, -91.166163131179 30.541549517486, -91.166162269308 30.541544905678, -91.166161399733 30.541540294954, -91.166160522455 30.541535685323, -91.166159637478 30.541531076794, -91.166158744802 30.541526469379, -91.16615784443 30.541521863085, -91.166156936363 30.541517257923, -91.166156020604 30.541512653903, -91.166155097153 30.541508051034, -91.166154166014 30.541503449325, -91.166153227188 30.541498848787, -91.166152280677 30.541494249429, -91.166151326483 30.54148965126, -91.166150364607 30.54148505429, -91.166149395053 30.541480458529, -91.166148417822 30.541475863986, -91.166147432916 30.541471270672, -91.166146440337 30.541466678595, -91.166145440088 30.541462087765, -91.16614443217 30.541457498192, -91.166143416585 30.541452909885, -91.166142393335 30.541448322854, -91.166141362424 30.541443737109, -91.166140323852 30.541439152659, -91.166139277622 30.541434569514, -91.166138223737 30.541429987683, -91.166137162198 30.541425407176, -91.166136093008 30.541420828002, -91.166135016168 30.541416250172, -91.166133931682 30.541411673694, -91.166132839551 30.541407098579, -91.166131739777 30.541402524835, -91.166130632364 30.541397952472, -91.166129517313 30.541393381501, -91.166128394627 30.541388811929, -91.166127264307 30.541384243768, -91.166126126357 30.541379677027, -91.166124980779 30.541375111714, -91.166123827575 30.54137054784, -91.166122666747 30.541365985415, -91.166121498298 30.541361424447, -91.166120322231 30.541356864947, -91.166119138548 30.541352306923, -91.166117947251 30.541347750385, -91.16611497192 30.541232726452, -91.166494325746 30.541225334118, -91.167332597616 30.541187501478, -91.167372312607 30.541846741042)))"
NICKWAX MEMORIAL CEMETERY,130375,PRIVATE,14785,607,"MULTIPOLYGON (((-91.199740761382 30.551244398275, -91.199689320607 30.551262470731, -91.199540032605 30.551314916924, -91.199517779455 30.551321748812, -91.199275452278 30.551386011252, -91.198458447829 30.551590400386, -91.197738932152 30.550201641393, -91.198434134399 30.550563777814, -91.199740761382 30.551244398275)))"
ZOAR BAPTIST CHURCH CEMETERY,201880,PRIVATE,12516,566,"MULTIPOLYGON (((-91.053701131626 30.546190860731, -91.053673975307 30.545571123767, -91.053690297464 30.545290101628, -91.053710121704 30.545084714185, -91.053737835105 30.545087883901, -91.053748190945 30.545027036053, -91.053808882512 30.544786117263, -91.053896236358 30.544539916349, -91.053984173001 30.544350023236, -91.05434672789 30.544548231225, -91.054268577407 30.545161557624, -91.054186170495 30.545150118653, -91.054171549751 30.545243959145, -91.054196791179 30.54565081306, -91.054206633935 30.545966903118, -91.054165864179 30.546164937051, -91.053701131626 30.546190860731)))"
THOMAS CHAPEL CEMETERY,173672,PRIVATE,16987,620,"MULTIPOLYGON (((-91.145123418822 30.560106172979, -91.145121740017 30.560086035821, -91.145117207598 30.559827294899, -91.145712087766 30.559819490978, -91.146156828385 30.559813654912, -91.146728635898 30.559806150425, -91.147262613349 30.559799139017, -91.147267367918 30.560011119867, -91.147268778603 30.56007403274, -91.147272300456 30.560231034467, -91.147274944224 30.560348928005, -91.145126839033 30.56037712032, -91.145123418822 30.560106172979)))"
CEMETERY,35697,PRIVATE,2659,206,"MULTIPOLYGON (((-91.106197742388 30.594892733282, -91.105752774805 30.594894493479, -91.105745556758 30.594479360805, -91.106190522484 30.594477597882, -91.106197742388 30.594892733282)))"
RESTHAVEN GARDENS OF MEMORY,13293,PUBLIC,172767,1943,"MULTIPOLYGON (((-91.046551096654 30.3964931555, -91.047168979234 30.396578466465, -91.04715907738 30.396630803864, -91.047437573647 30.396670397606, -91.047695930058 30.39666849173, -91.048044361682 30.396604305038, -91.047954596833 30.396340631485, -91.047925435422 30.396164242818, -91.047985274467 30.395846768773, -91.048589252237 30.396035391188, -91.049156880964 30.396115811405, -91.048930317937 30.397350180462, -91.048893378666 30.397551175054, -91.048835141989 30.397868051759, -91.048733671177 30.398420168564, -91.048687141638 30.398673340153, -91.048604189209 30.399124688822, -91.048533768863 30.399507846439, -91.048435954211 30.40004005165, -91.048338706327 30.400569167293, -91.048243508366 30.401087123915, -91.048212195699 30.401257489832, -91.048177879985 30.401444194032, -91.047456312217 30.401233230469, -91.045836633586 30.400751135838, -91.045793729329 30.400734792189, -91.046062848962 30.399227629887, -91.046094652237 30.399049517531, -91.046168302863 30.398637039059, -91.046217827773 30.398359674075, -91.046257074253 30.39813987246, -91.046302491199 30.397885511638, -91.046344186118 30.397651995111, -91.046388576936 30.397403378698, -91.046478311661 30.396900804086, -91.046504025021 30.396756791074, -91.046546476159 30.396519033718, -91.046551096654 30.3964931555)))"
SWEET OLIVE CEMETERY,130290,PUBLIC,25813,707,"MULTIPOLYGON (((-91.165723981463 30.445938438297, -91.165782758464 30.447773981606, -91.165120764111 30.447791074502, -91.165109890959 30.447475023324, -91.164983009858 30.447478298797, -91.164856125574 30.447481574145, -91.164729241282 30.447484849371, -91.164686115237 30.445957670557, -91.165723981463 30.445938438297)))"
SOUTHERN MEMORIAL GARDENS,67039,PUBLIC,152520,1601,"MULTIPOLYGON (((-91.163964140517 30.54477947598, -91.162628422593 30.544748445487, -91.162324274745 30.544736376157, -91.162006334389 30.544728079723, -91.161698380435 30.544721855771, -91.161440546128 30.544715873302, -91.161246667316 30.544711374447, -91.159986977673 30.544675368149, -91.159954058331 30.543763450844, -91.159932863342 30.543176307455, -91.159925629294 30.543009733167, -91.159883239821 30.542033643658, -91.161216087498 30.542035019022, -91.161226975171 30.54213671755, -91.162528845246 30.542090664698, -91.162673386229 30.541946356105, -91.162734976243 30.541999825122, -91.162886631803 30.541945105414, -91.162909390179 30.542033608964, -91.162972871101 30.542012334816, -91.163131479049 30.542014064245, -91.16324606775 30.541992855664, -91.16337638937 30.542046412668, -91.163550790551 30.542087822738, -91.163629307831 30.542082088446, -91.163663031803 30.542091930743, -91.16369434184 30.542103513095, -91.163729131161 30.542121937802, -91.16375994546 30.542142939149, -91.163782857744 30.542161428361, -91.163811509735 30.542185638295, -91.163832511948 30.542208436203, -91.163874863512 30.542251885361, -91.163964140517 30.54477947598)))"
TUCKER CEMETERY,202312,PRIVATE,10429,430,"MULTIPOLYGON (((-91.06158369523 30.634160861195, -91.060743660008 30.634167994225, -91.060724731676 30.633601018206, -91.061729952604 30.633124729134, -91.06158369523 30.634160861195)))"
